player,line,gender
Madison Keys,104,F
Sorana Cirstea,105,F
Sara Bejlek,106,F
Kimberly Birrell,107,F
Alina Korneeva,108,F
Camila Osorio,109,F
Simona Waltert,110,F
Ella Seidel,111,F
Linda Noskova,112,F
Diana Shnaider,113,F
Eva Lys,114,F
Polina Kudermetova,115,F
Liudmila Samsonova,116,F
Katie Boulter,117,F
Tyra Caterina Grant,118,F
Talia Gibson,119,F
Marie Bouzkova,120,F
Elise Mertens,121,F
Laura Siegemund,122,F
Beatriz Haddad Maia,123,F
Maria Timofeeva,124,F
Elena-Gabriela Ruse,125,F
Caty McNally,126,F
Lois Boisson,127,F
Elena Rybakina,128,F
