player,line
S Africa,1
Canada,2
Netherlands,3
Morocco,4
Germany,5
Paraguay,6
France,7
Sweden,8
Belgium,9
Senegal,10
USA,11
Bosnia,12
Spain,13
Austria,14
Portugal,15
Croatia,16
Brazil,17
Japan,18
Ivory Coast,19
Norway,20
Mexico,21
Ecuador,22
England,23
Congo,24
Switzerland,25
Algeria,26
Colombia,27
Ghana,28
Australia,29
Egypt,30
Argentina,31
Cape Verde,32
